"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"McPherson County, SD"	"46089"	14793.60	289272	1457.20	29375.80
	"Marshall County, SD"	"46091"	14573.86	156689	1479.30	28960.40
	"Meade County, SD"	"46093"	15288.51	819604	1523.50	29686.70
	"Mellette County, SD"	"46095"	15264.87	313378	1553.80	28992.00
	"Miner County, SD"	"46097"	14940.07	144636	1597.60	28513.20
	"Minnehaha County, SD"	"46099"	14772.59	180795	1740.60	28120.40
	"Moody County, SD"	"46101"	14635.57	108477	1744.40	28306.40
	"Pennington County, SD"	"46103"	15365.44	614703	1550.30	29504.20
	"Perkins County, SD"	"46105"	15071.86	771392	1414.10	29681.30
	"Potter County, SD"	"46107"	14991.44	204901	1589.10	29507.60
	"Roberts County, SD"	"46109"	14482.19	216954	1606.60	29101.20
	"Sanborn County, SD"	"46111"	15037.03	144636	1601.60	28582.10
	"Shannon County, SD"	"46113"	15680.32	421855	1803.20	29160.40
	"Spink County, SD"	"46115"	14904.73	361590	1488.00	29415.20
	"Stanley County, SD"	"46117"	15213.13	349537	1637.10	29320.60
	"Sully County, SD"	"46119"	15083.76	277219	1587.80	29438.80
	"Todd County, SD"	"46121"	15440.02	289272	1486.30	29120.90
	"Tripp County, SD"	"46123"	15180.42	409802	1528.40	29195.70
	"Turner County, SD"	"46125"	14839.52	144636	1575.20	28290.70
	"Union County, SD"	"46127"	14819.91	84371	1586.90	28179.30
	"Walworth County, SD"	"46129"	14881.41	192848	1494.80	29680.90
	"Yankton County, SD"	"46135"	14945.92	108477	1609.40	28261.80
	"Ziebach County, SD"	"46137"	15146.02	458014	1655.50	29708.40
	"Anderson County, TN"	"47001"	15766.08	60265	2008.00	32091.00
	"Bedford County, TN"	"47003"	15851.13	84371	1817.60	31873.10
	"Benton County, TN"	"47005"	15913.35	96424	1635.90	32108.90
	"Bledsoe County, TN"	"47007"	15869.19	72318	1802.50	31293.40
	"Blount County, TN"	"47009"	15527.87	120530	2019.30	33571.60
	"Bradley County, TN"	"47011"	16009.93	60265	2036.90	32138.30
	"Campbell County, TN"	"47013"	15557.51	108477	1881.20	31780.40
	"Cannon County, TN"	"47015"	15655.63	48212	1726.80	31770.60
	"Carroll County, TN"	"47017"	15967.40	108477	1647.50	32306.00
	"Carter County, TN"	"47019"	15174.86	72318	2124.70	30954.40
	"Cheatham County, TN"	"47021"	15781.99	60265	1744.10	32031.10
	"Chester County, TN"	"47023"	16120.55	48212	1909.70	32822.80
	"Claiborne County, TN"	"47025"	15576.87	108477	1932.70	32487.90
	"Clay County, TN"	"47027"	15455.48	48212	1852.30	31915.80
	"Cocke County, TN"	"47029"	15628.01	84371	1991.30	33764.40
	"Coffee County, TN"	"47031"	15700.98	96424	1713.50	31952.60
	"Crockett County, TN"	"47033"	16065.63	72318	1631.80	32546.70
	"Cumberland County, TN"	"47035"	15612.51	132583	1862.30	31161.60
	"Davidson County, TN"	"47037"	15731.04	120530	1800.60	32501.20
	"Decatur County, TN"	"47039"	16044.33	72318	1794.60	32141.10
	"DeKalb County, TN"	"47041"	15573.17	72318	1727.40	32511.40
	"Dickson County, TN"	"47043"	15844.25	108477	1702.50	31944.50
	"Dyer County, TN"	"47045"	16051.16	108477	1656.40	32247.80
	"Fayette County, TN"	"47047"	16280.68	108477	1728.80	32771.50
	"Fentress County, TN"	"47049"	15363.18	108477	1750.90	30680.30
	"Franklin County, TN"	"47051"	15832.63	96424	1703.40	31653.70
	"Gibson County, TN"	"47053"	15991.75	108477	1635.20	32689.70
	"Giles County, TN"	"47055"	16002.85	132583	1746.70	31817.40
	"Grainger County, TN"	"47057"	15818.79	60265	1962.70	33334.40
	"Greene County, TN"	"47059"	15463.18	132583	1964.40	33877.10
	"Grundy County, TN"	"47061"	15704.41	60265	1758.30	30286.80
	"Hamblen County, TN"	"47063"	15843.43	36159	1992.40	34647.10
	"Hamilton County, TN"	"47065"	16104.91	108477	1951.90	32026.70
	"Hancock County, TN"	"47067"	15634.41	60265	1958.10	32717.00
	"Hardeman County, TN"	"47069"	16244.62	144636	1807.90	32540.00
	"Hardin County, TN"	"47071"	16172.11	108477	1825.70	32565.20
	"Hawkins County, TN"	"47073"	15690.19	96424	1965.70	33684.00
	"Haywood County, TN"	"47075"	16199.28	108477	1665.20	32715.80
	"Henderson County, TN"	"47077"	16055.14	132583	1808.40	32732.40
	"Henry County, TN"	"47079"	15904.76	120530	1576.70	32243.80
	"Hickman County, TN"	"47081"	15862.09	132583	1656.60	31781.20
	"Houston County, TN"	"47083"	15795.86	48212	1608.40	31961.10
	"Humphreys County, TN"	"47085"	15855.40	96424	1645.70	32097.30
	"Jackson County, TN"	"47087"	15474.90	72318	1795.20	32381.30
	"Jefferson County, TN"	"47089"	15761.97	60265	1954.40	34218.30
	"Johnson County, TN"	"47091"	15211.41	60265	2057.50	28306.20
	"Knox County, TN"	"47093"	15919.11	96424	1942.00	33721.20
	"Lake County, TN"	"47095"	16028.21	48212	1625.70	32257.10
	"Lauderdale County, TN"	"47097"	16149.98	96424	1632.70	32381.40
	"Lawrence County, TN"	"47099"	16047.20	132583	1778.90	31839.80
	"Lewis County, TN"	"47101"	15919.00	36159	1823.50	31445.00
	"Lincoln County, TN"	"47103"	15946.02	120530	1770.50	31722.50
	"Loudon County, TN"	"47105"	15934.93	60265	2004.40	33107.10
	"McMinn County, TN"	"47107"	15932.74	84371	1935.90	33185.60
	"McNairy County, TN"	"47109"	16265.48	108477	1903.40	32797.50
	"Macon County, TN"	"47111"	15548.75	72318	1754.10	32316.30
	"Madison County, TN"	"47113"	16122.60	120530	1731.00	32698.40
	"Marion County, TN"	"47115"	15983.98	108477	1729.90	31570.90
	"Marshall County, TN"	"47117"	15887.13	96424	1760.70	31568.20
	"Maury County, TN"	"47119"	15890.69	108477	1810.80	31548.00
	"Meigs County, TN"	"47121"	16026.16	48212	1993.20	32694.30
	"Monroe County, TN"	"47123"	15669.48	120530	1915.90	33033.20
	"Montgomery County, TN"	"47125"	15722.59	96424	1645.90	31993.70
	"Moore County, TN"	"47127"	15893.77	36159	1736.40	31775.30
	"Morgan County, TN"	"47129"	15533.83	96424	1889.40	31942.60
	"Obion County, TN"	"47131"	15915.31	96424	1625.60	32312.50
	"Overton County, TN"	"47133"	15386.56	84371	1738.80	31339.40
	"Perry County, TN"	"47135"	15963.19	84371	1667.60	32174.60
	"Pickett County, TN"	"47137"	15268.60	36159	1828.10	31148.10
	"Polk County, TN"	"47139"	16018.83	84371	2063.70	33183.10
	"Putnam County, TN"	"47141"	15413.34	60265	1845.60	31935.40
	"Rhea County, TN"	"47143"	15949.03	72318	1968.60	31992.40
	"Roane County, TN"	"47145"	15947.70	84371	1956.60	32485.90
	"Robertson County, TN"	"47147"	15673.29	96424	1692.30	32313.00
	"Rutherford County, TN"	"47149"	15695.91	120530	1810.00	32027.40
	"Scott County, TN"	"47151"	15264.79	120530	1813.30	31245.60
	"Sequatchie County, TN"	"47153"	15855.13	48212	1827.60	31293.70
	"Sevier County, TN"	"47155"	15484.74	120530	1997.30	32364.50
	"Shelby County, TN"	"47157"	16290.12	144636	1661.90	33132.90
	"Smith County, TN"	"47159"	15582.76	60265	1794.60	32637.50
	"Stewart County, TN"	"47161"	15760.84	72318	1546.30	32427.10
	"Sullivan County, TN"	"47163"	15329.49	120530	2051.40	33773.20
	"Sumner County, TN"	"47165"	15587.39	84371	1707.30	32326.10
	"Tipton County, TN"	"47167"	16212.19	84371	1659.90	32455.30
	"Trousdale County, TN"	"47169"	15563.73	12053	1782.90	32049.60
	"Unicoi County, TN"	"47171"	15415.81	36159	2241.40	29857.40
	"Union County, TN"	"47173"	15813.93	60265	1916.60	32659.80
	"Van Buren County, TN"	"47175"	15552.82	60265	1850.20	30772.20
	"Warren County, TN"	"47177"	15620.19	96424	1682.70	31586.10
	"Washington County, TN"	"47179"	15258.55	60265	2104.10	33193.90
	"Wayne County, TN"	"47181"	16065.96	144636	1832.60	32294.90
	"Weakley County, TN"	"47183"	15879.00	108477	1604.50	32467.10
	"White County, TN"	"47185"	15471.72	72318	1759.00	31313.30
	"Williamson County, TN"	"47187"	15767.99	108477	1794.10	32020.80
	"Wilson County, TN"	"47189"	15618.01	120530	1800.10	32384.20
	"Anderson County, TX"	"48001"	17303.44	216954	1582.70	32358.90
	"Andrews County, TX"	"48003"	19401.59	216954	2668.50	30037.80
	"Angelina County, TX"	"48005"	17485.54	168742	1864.10	33528.80
	"Aransas County, TX"	"48007"	19228.49	12053	2157.90	32336.30
	"Archer County, TX"	"48009"	18000.57	241060	1856.00	30614.90
	"Armstrong County, TX"	"48011"	18391.89	144636	2247.60	30020.70
	"Atascosa County, TX"	"48013"	18200.60	204901	1864.90	31875.10
	"Austin County, TX"	"48015"	17553.99	108477	1899.00	32333.90
	"Bailey County, TX"	"48017"	19041.63	108477	2844.80	30181.70
	"Bandera County, TX"	"48019"	17734.55	132583	2069.20	30246.10
	"Bastrop County, TX"	"48021"	17664.72	168742	1977.60	31855.80
	"Baylor County, TX"	"48023"	18164.73	192848	1983.90	30497.20
	"Bee County, TX"	"48025"	18006.00	168742	1893.60	32384.60
	"Bell County, TX"	"48027"	17709.65	216954	1991.30	31458.10
	"Bexar County, TX"	"48029"	17819.44	216954	1998.50	31101.40
	"Blanco County, TX"	"48031"	17835.92	144636	2298.60	30679.20
	"Borden County, TX"	"48033"	18988.62	229007	2154.10	30575.60
	"Bosque County, TX"	"48035"	17683.66	180795	1929.30	31108.30
	"Bowie County, TX"	"48037"	16876.50	216954	1827.80	32000.20
	"Brazoria County, TX"	"48039"	18294.13	229007	1919.00	35594.20
	"Brazos County, TX"	"48041"	17497.91	120530	1901.80	32692.80
	"Brewster County, TX"	"48043"	20332.43	1120929	2603.30	31110.10
	"Briscoe County, TX"	"48045"	18461.38	192848	2310.30	29928.70
	"Brooks County, TX"	"48047"	18592.92	168742	2057.60	32024.30
	"Brown County, TX"	"48049"	18197.06	204901	1963.80	31238.60
	"Burleson County, TX"	"48051"	17631.33	132583	1986.70	32687.50
	"Burnet County, TX"	"48053"	17894.67	144636	2019.90	30827.00
	"Caldwell County, TX"	"48055"	17681.31	108477	1987.10	32005.00
	"Calhoun County, TX"	"48057"	18761.18	120530	1964.20	33944.50
	"Callahan County, TX"	"48059"	18280.77	144636	1990.30	30875.50
	"Cameron County, TX"	"48061"	18922.45	192848	2053.40	32347.70
	"Camp County, TX"	"48063"	17095.18	60265	1636.80	32398.00
	"Carson County, TX"	"48065"	18294.26	192848	2246.50	30157.90
	"Cass County, TX"	"48067"	16987.33	180795	1784.50	32274.60
	"Castro County, TX"	"48069"	18887.60	192848	2622.90	30863.70
	"Chambers County, TX"	"48071"	18027.13	96424	1855.60	32985.40
	"Cherokee County, TX"	"48073"	17242.26	156689	1581.60	32633.90
	"Childress County, TX"	"48075"	18147.20	108477	1999.10	29832.20
	"Clay County, TX"	"48077"	17805.58	168742	2081.10	30598.50
	"Cochran County, TX"	"48079"	19236.66	144636	2534.30	30115.30
	"Coke County, TX"	"48081"	18791.02	180795	2269.60	31072.40
	"Coleman County, TX"	"48083"	18413.95	253113	2036.60	31385.40
	"Collin County, TX"	"48085"	17264.82	180795	1949.00	30928.50
	"Collingsworth County, TX"	"48087"	18038.63	144636	2044.20	29633.50
	"Colorado County, TX"	"48089"	17578.63	192848	1938.70	32668.40
	"Comal County, TX"	"48091"	17685.35	108477	2108.90	31089.10
	"Comanche County, TX"	"48093"	18020.85	180795	1898.80	31029.00
	"Concho County, TX"	"48095"	18613.29	180795	2253.20	30987.40
	"Cooke County, TX"	"48097"	17386.59	216954	1895.40	30585.30
	"Coryell County, TX"	"48099"	17761.09	192848	1952.10	30942.90
	"Cottle County, TX"	"48101"	18335.48	192848	2060.20	29935.80
	"Crane County, TX"	"48103"	19361.81	144636	2654.60	30536.70
	"Crockett County, TX"	"48105"	19024.72	578544	2384.10	30348.40
	"Crosby County, TX"	"48107"	18817.00	241060	2290.60	30189.50
	"Culberson County, TX"	"48109"	19634.88	687021	2636.50	30416.50
	"Dallam County, TX"	"48111"	18558.00	337484	2345.60	30979.80
	"Dallas County, TX"	"48113"	17358.81	192848	1896.50	31036.10
	"Dawson County, TX"	"48115"	19126.93	204901	2190.70	29975.20
	"Deaf Smith County, TX"	"48117"	18709.47	253113	2332.10	30589.80
	"Delta County, TX"	"48119"	16995.26	60265	1878.60	31112.10
	"Denton County, TX"	"48121"	17436.85	144636	1896.80	30549.70
	"DeWitt County, TX"	"48123"	17694.07	192848	1816.40	31948.90
	"Dickens County, TX"	"48125"	18628.30	192848	2222.60	29975.10
	"Dimmit County, TX"	"48127"	18739.89	216954	1990.80	30567.60
	"Donley County, TX"	"48129"	18216.92	180795	2186.10	29859.20
	"Duval County, TX"	"48131"	18503.83	265166	2085.20	32204.60
	"Eastland County, TX"	"48133"	18105.33	156689	1913.10	31023.40
	"Ector County, TX"	"48135"	19373.24	192848	2577.60	30063.60
	"Edwards County, TX"	"48137"	18365.14	385696	2201.20	30340.10
	"Ellis County, TX"	"48139"	17462.12	156689	1858.00	31110.50
	"El Paso County, TX"	"48141"	20022.71	192848	2982.30	30761.30
	"Erath County, TX"	"48143"	17911.08	216954	1911.10	30963.20
	"Falls County, TX"	"48145"	17578.22	156689	1995.30	31777.70
	"Fannin County, TX"	"48147"	17024.31	168742	1953.60	30740.80
	"Fayette County, TX"	"48149"	17593.43	168742	1892.20	31650.50
	"Fisher County, TX"	"48151"	18658.46	192848	2159.40	30687.20
	"Floyd County, TX"	"48153"	18707.89	156689	2351.40	29922.10
	"Foard County, TX"	"48155"	18219.88	108477	2119.80	30297.40
	"Fort Bend County, TX"	"48157"	17542.57	168742	1942.40	32325.80
	"Franklin County, TX"	"48159"	17016.77	36159	1693.10	31650.00
	"Freestone County, TX"	"48161"	17421.55	180795	1822.40	32255.90
	"Frio County, TX"	"48163"	18258.77	241060	1822.60	31169.30
	"Gaines County, TX"	"48165"	19316.45	289272	2232.80	29992.10
	"Galveston County, TX"	"48167"	18608.67	84371	1952.20	33725.80
	"Garza County, TX"	"48169"	18849.10	144636	2158.00	30156.60
	"Gillespie County, TX"	"48171"	18039.22	180795	2408.90	30395.40
	"Glasscock County, TX"	"48173"	19162.43	192848	2468.10	30291.80
	"Goliad County, TX"	"48175"	17792.65	180795	1860.70	31877.70
	"Gonzales County, TX"	"48177"	17773.68	192848	1823.70	31940.20
	"Gray County, TX"	"48179"	18112.78	241060	2122.60	30063.20
	"Grayson County, TX"	"48181"	17187.36	204901	1911.40	30505.30
	"Gregg County, TX"	"48183"	17179.19	36159	1588.30	32466.70
	"Grimes County, TX"	"48185"	17454.62	144636	1845.40	32624.80
	"Guadalupe County, TX"	"48187"	17790.94	132583	1987.90	31795.30
	"Hale County, TX"	"48189"	18912.02	168742	2430.80	30311.80
	"Hall County, TX"	"48191"	18255.36	180795	2049.70	29796.60
	"Hamilton County, TX"	"48193"	17882.47	156689	1961.00	30952.30
	"Hansford County, TX"	"48195"	18217.17	192848	2214.50	30331.00
	"Hardeman County, TX"	"48197"	18126.09	132583	2076.40	30246.60
	"Hardin County, TX"	"48199"	17208.90	156689	1830.50	32494.80
	"Harris County, TX"	"48201"	17466.54	337484	1788.30	33531.70
	"Harrison County, TX"	"48203"	17105.65	216954	1848.10	32549.20
	"Hartley County, TX"	"48205"	18639.23	253113	2360.50	30613.50
	"Haskell County, TX"	"48207"	18419.12	144636	1921.10	30615.00
	"Hays County, TX"	"48209"	17682.53	108477	2234.30	31107.80
	"Hemphill County, TX"	"48211"	17801.38	144636	2000.00	30020.00
	"Henderson County, TX"	"48213"	17328.26	180795	1774.20	31808.10
	"Hidalgo County, TX"	"48215"	18781.09	301325	2092.40	32136.40
	"Hill County, TX"	"48217"	17567.22	204901	1950.40	31164.00
	"Hockley County, TX"	"48219"	19137.95	192848	2286.90	30105.10
	"Hood County, TX"	"48221"	17733.85	60265	2095.10	30839.90
	"Hopkins County, TX"	"48223"	17076.58	156689	1767.30	31577.80
	"Houston County, TX"	"48225"	17362.31	229007	1640.40	32922.70
	"Howard County, TX"	"48227"	19057.02	180795	2469.60	30347.90
	"Hudspeth County, TX"	"48229"	19938.96	903975	2997.50	30858.00
	"Hunt County, TX"	"48231"	17169.43	132583	1871.00	31068.80
	"Hutchinson County, TX"	"48233"	18247.20	144636	2160.90	30312.50
	"Irion County, TX"	"48235"	18981.63	144636	2482.30	30553.50
	"Jack County, TX"	"48237"	17852.80	180795	1934.00	30750.00
	"Jackson County, TX"	"48239"	17780.58	144636	1925.80	32244.40
	"Jasper County, TX"	"48241"	17297.96	204901	1798.70	32706.90
	"Jeff Davis County, TX"	"48243"	19753.55	421855	3169.80	30388.80
	"Jefferson County, TX"	"48245"	18088.69	192848	1900.30	36079.20
	"Jim Hogg County, TX"	"48247"	18844.38	241060	2081.20	31960.20
	"Jim Wells County, TX"	"48249"	18435.97	132583	2079.90	32213.00
	"Johnson County, TX"	"48251"	17574.95	108477	1947.90	30964.80
	"Jones County, TX"	"48253"	18495.07	192848	2099.20	30828.00
	"Karnes County, TX"	"48255"	17963.26	120530	1874.60	31983.10
	"Kaufman County, TX"	"48257"	17344.68	144636	1706.20	31287.80
	"Kendall County, TX"	"48259"	17728.68	108477	2363.90	30274.90
	"Kenedy County, TX"	"48261"	18804.67	229007	2043.50	33199.50
	"Kent County, TX"	"48263"	18741.50	144636	2099.40	30212.30
	"Kerr County, TX"	"48265"	17927.56	229007	2379.10	30108.20
	"Kimble County, TX"	"48267"	18434.23	289272	2216.90	30752.30
	"King County, TX"	"48269"	18495.72	192848	2094.60	30294.80
	"Kinney County, TX"	"48271"	18250.59	241060	2218.70	30135.20
	"Kleberg County, TX"	"48273"	18960.70	132583	2210.70	32812.80
	"Knox County, TX"	"48275"	18309.30	180795	2083.20	30479.10
	"Lamar County, TX"	"48277"	16863.14	204901	1746.10	31618.20
	"Lamb County, TX"	"48279"	18986.62	144636	2629.10	30292.70
	"Lampasas County, TX"	"48281"	17923.43	144636	2014.70	30873.60
	"La Salle County, TX"	"48283"	18625.56	301325	1901.80	31532.00
	"Lavaca County, TX"	"48285"	17578.47	180795	1820.30	32752.70
	"Lee County, TX"	"48287"	17658.50	120530	1982.50	32038.30
	"Leon County, TX"	"48289"	17418.65	192848	1771.70	32190.40
	"Liberty County, TX"	"48291"	17347.69	216954	1819.00	32788.00
	"Limestone County, TX"	"48293"	17501.03	180795	1876.30	32022.00
	"Lipscomb County, TX"	"48295"	17738.92	192848	2175.40	29845.10
	"Live Oak County, TX"	"48297"	18192.00	241060	1920.10	31909.80
	"Llano County, TX"	"48299"	18098.59	180795	2204.30	30785.00
	"Loving County, TX"	"48301"	19744.51	108477	2729.50	30257.80
	"Lubbock County, TX"	"48303"	18999.60	192848	2271.60	30178.10
	"Lynn County, TX"	"48305"	18993.66	180795	2169.30	30158.40
	"McCulloch County, TX"	"48307"	18462.07	180795	2070.50	31119.50
	"McLennan County, TX"	"48309"	17599.00	192848	1909.60	31427.70
	"McMullen County, TX"	"48311"	18388.03	180795	1903.60	31536.30
	"Madison County, TX"	"48313"	17427.53	108477	1884.80	32497.90
	"Marion County, TX"	"48315"	17107.68	72318	1857.60	32354.90
	"Martin County, TX"	"48317"	19173.77	144636	2494.40	30192.80
	"Mason County, TX"	"48319"	18300.62	180795	2267.80	30689.20
	"Matagorda County, TX"	"48321"	18906.95	216954	1904.90	35966.30
	"Maverick County, TX"	"48323"	18625.24	229007	2267.70	30390.10
	"Medina County, TX"	"48325"	17895.93	253113	1877.90	30725.00
	"Menard County, TX"	"48327"	18598.31	168742	2375.50	31150.10
	"Midland County, TX"	"48329"	19177.73	192848	2465.40	29941.70
	"Milam County, TX"	"48331"	17674.66	204901	2007.00	32086.20
	"Mills County, TX"	"48333"	18110.85	156689	1967.30	31091.90
	"Mitchell County, TX"	"48335"	18935.99	144636	2427.30	30677.20
	"Montague County, TX"	"48337"	17606.06	204901	1926.40	30527.70
	"Montgomery County, TX"	"48339"	17364.07	192848	1757.40	32604.60
	"Moore County, TX"	"48341"	18395.69	144636	2248.50	30201.30
	"Morris County, TX"	"48343"	17002.27	84371	1805.70	32292.50
	"Motley County, TX"	"48345"	18472.27	192848	2115.30	29914.40
	"Nacogdoches County, TX"	"48347"	17240.61	204901	1737.50	32781.00
	"Navarro County, TX"	"48349"	17485.25	204901	1842.80	31604.90
	"Newton County, TX"	"48351"	17319.40	156689	1985.10	32860.30
	"Nolan County, TX"	"48353"	18712.30	144636	2310.10	30770.00
	"Nueces County, TX"	"48355"	18773.92	192848	2058.10	32250.90
	"Ochiltree County, TX"	"48357"	17972.56	241060	2191.60	30147.30
	"Oldham County, TX"	"48359"	18641.42	337484	2244.10	30750.00
	"Orange County, TX"	"48361"	17491.47	60265	1870.00	33100.60
	"Palo Pinto County, TX"	"48363"	17927.54	241060	2035.30	30982.50
	"Panola County, TX"	"48365"	17130.72	168742	1835.40	32543.50
	"Parker County, TX"	"48367"	17674.00	192848	1943.40	30654.00
	"Parmer County, TX"	"48369"	18980.51	192848	2914.70	30847.30
	"Pecos County, TX"	"48371"	19402.90	903975	2549.20	29844.60
	"Polk County, TX"	"48373"	17389.67	204901	1849.70	32856.20
	"Potter County, TX"	"48375"	18415.99	192848	2224.10	30262.20
	"Presidio County, TX"	"48377"	20318.65	747286	2947.80	31366.00
	"Rains County, TX"	"48379"	17173.04	60265	1720.30	31217.90
	"Randall County, TX"	"48381"	18507.56	144636	2280.90	30119.70
	"Reagan County, TX"	"48383"	19062.04	192848	2513.70	30031.40
	"Real County, TX"	"48385"	17957.44	120530	2118.40	29866.20
	"Red River County, TX"	"48387"	16827.73	192848	1651.10	31612.50
	"Reeves County, TX"	"48389"	19506.36	494173	2624.90	29829.80
	"Refugio County, TX"	"48391"	18447.03	144636	1887.50	32951.20
	"Roberts County, TX"	"48393"	17989.91	180795	2088.70	30249.10
	"Robertson County, TX"	"48395"	17480.73	144636	1891.40	32030.20
	"Rockwall County, TX"	"48397"	17321.84	24106	1914.80	30861.70
	"Runnels County, TX"	"48399"	18569.81	192848	2150.80	31116.30
	"Rusk County, TX"	"48401"	17141.00	168742	1586.80	32270.30
	"Sabine County, TX"	"48403"	17465.03	120530	1896.50	33274.20
	"San Augustine County, TX"	"48405"	17403.75	120530	1937.60	33128.20
	"San Jacinto County, TX"	"48407"	17443.27	132583	1840.00	33106.10
	"San Patricio County, TX"	"48409"	18605.02	120530	1947.10	32538.80
	"San Saba County, TX"	"48411"	18198.43	265166	2037.30	30946.50
	"Schleicher County, TX"	"48413"	18795.46	253113	2460.30	31012.50
	"Scurry County, TX"	"48415"	18860.03	192848	2273.60	30386.00
	"Shackelford County, TX"	"48417"	18352.03	192848	2033.60	31078.10
	"Shelby County, TX"	"48419"	17318.94	156689	1826.10	33137.00
	"Sherman County, TX"	"48421"	18321.82	192848	2230.60	30422.20
	"Smith County, TX"	"48423"	17215.47	180795	1543.40	32102.10
	"Somervell County, TX"	"48425"	17748.43	36159	2080.30	30932.20
	"Starr County, TX"	"48427"	19174.97	192848	2146.60	31910.80
	"Stephens County, TX"	"48429"	18165.18	192848	2027.60	31022.00
	"Sterling County, TX"	"48431"	19059.55	144636	2475.00	30977.70
	"Stonewall County, TX"	"48433"	18613.33	144636	1976.10	30640.80
	"Sutton County, TX"	"48435"	18740.44	337484	2349.60	30732.10
	"Swisher County, TX"	"48437"	18692.53	192848	2374.00	30347.20
	"Tarrant County, TX"	"48439"	17452.33	192848	1885.60	30608.60
	"Taylor County, TX"	"48441"	18440.23	144636	2126.30	30853.70
	"Terrell County, TX"	"48443"	19370.04	458014	2278.80	30345.50
	"Terry County, TX"	"48445"	19211.66	144636	2202.40	30098.60
	"Throckmorton County, TX"	"48447"	18285.38	144636	1897.80	30909.20
	"Titus County, TX"	"48449"	16966.02	48212	1664.70	31839.90
	"Tom Green County, TX"	"48451"	18819.06	349537	2319.00	30968.10
	"Travis County, TX"	"48453"	17665.44	229007	2075.10	31600.50
	"Trinity County, TX"	"48455"	17444.83	132583	1821.70	33322.70
	"Tyler County, TX"	"48457"	17332.68	168742	1839.40	32787.60
	"Upshur County, TX"	"48459"	17138.45	96424	1570.60	32430.20
	"Upton County, TX"	"48461"	19175.61	192848	2574.30	29707.80
	"Uvalde County, TX"	"48463"	17993.30	289272	1849.40	30663.40
	"Val Verde County, TX"	"48465"	18804.78	530332	2222.70	30338.20
	"Van Zandt County, TX"	"48467"	17258.98	180795	1703.30	31426.70
	"Victoria County, TX"	"48469"	17860.99	180795	1971.50	32418.20
	"Walker County, TX"	"48471"	17456.20	144636	1831.50	32723.90
	"Waller County, TX"	"48473"	17461.01	108477	1787.10	32694.40
	"Ward County, TX"	"48475"	19672.55	144636	2646.70	30383.40
	"Washington County, TX"	"48477"	17551.01	132583	1861.80	32525.80
	"Webb County, TX"	"48479"	18932.36	662915	2131.40	31216.50
	"Wharton County, TX"	"48481"	17572.60	216954	1922.50	32415.80
	"Wheeler County, TX"	"48483"	17946.58	192848	2033.50	29912.80
	"Wichita County, TX"	"48485"	17944.47	108477	2170.40	30548.70
	"Wilbarger County, TX"	"48487"	18061.75	168742	2236.80	30423.50
	"Willacy County, TX"	"48489"	18763.04	96424	2175.30	32563.40
	"Williamson County, TX"	"48491"	17736.40	192848	2024.10	31343.80
	"Wilson County, TX"	"48493"	18006.82	144636	1918.80	32033.50
	"Winkler County, TX"	"48495"	19590.25	204901	2590.30	30338.20
	"Wise County, TX"	"48497"	17617.36	144636	1930.10	30574.80
	"Wood County, TX"	"48499"	17142.45	156689	1565.90	32148.20
	"Yoakum County, TX"	"48501"	19355.82	108477	2357.50	30137.10
	"Young County, TX"	"48503"	18073.78	180795	1939.70	30832.10
	"Zapata County, TX"	"48505"	19209.25	180795	2097.40	30992.90
	"Zavala County, TX"	"48507"	18428.53	289272	1819.80	30692.10
	"Beaver County, UT"	"49001"	17867.22	602650	2530.10	30914.20
	"Box Elder County, UT"	"49003"	16388.37	1422254	2070.20	31643.90
	"Cache County, UT"	"49005"	17490.22	265166	2216.60	31707.40
	"Carbon County, UT"	"49007"	17440.80	229007	3126.60	30473.20
	"Daggett County, UT"	"49009"	17422.64	180795	3142.10	29984.20
	"Davis County, UT"	"49011"	17109.38	132583	1953.70	30973.60
	"Duchesne County, UT"	"49013"	17326.70	711127	2465.80	30604.30
	"Emery County, UT"	"49015"	17631.73	916028	2534.80	31447.10
	"Garfield County, UT"	"49017"	18202.26	1072717	2846.90	31713.30
	"Grand County, UT"	"49019"	17607.05	831657	2415.60	31673.30
	"Iron County, UT"	"49021"	18227.73	638809	2744.20	31394.10
	"Juab County, UT"	"49023"	17275.42	735233	2499.10	31063.30
	"Kane County, UT"	"49025"	18505.49	747286	2605.90	31830.30
	"Millard County, UT"	"49027"	17363.64	1253512	2423.20	31023.00
	"Morgan County, UT"	"49029"	17656.64	132583	2442.10	30707.70
	"Piute County, UT"	"49031"	17508.29	156689	2863.80	29657.20
	"Rich County, UT"	"49033"	17321.37	253113	2607.10	30307.10
	"Salt Lake County, UT"	"49035"	17180.06	168742	1862.60	30852.60
	"San Juan County, UT"	"49037"	18210.82	1675367	2450.00	32104.70
	"Sanpete County, UT"	"49039"	17229.30	349537	2651.90	30250.50
	"Sevier County, UT"	"49041"	17239.57	397749	2409.70	29521.30
	"Summit County, UT"	"49043"	17331.06	385696	2762.50	31485.10
	"Tooele County, UT"	"49045"	16627.05	1542784	2137.80	31010.70
	"Uintah County, UT"	"49047"	17267.09	976293	2480.10	30427.60
	"Utah County, UT"	"49049"	17287.06	482120	2026.30	30880.60
	"Wasatch County, UT"	"49051"	17553.82	301325	2462.50	30959.70
